File with results:  out,,,,,Filtered,B,0.1,,,,,,,,,,,,,,,,
49.531,-0.00235619838349521,-0.00117809919174761,,,49.531,-0.00151157670302475,,,,,,,,,,,,,-0.0135800679703963,0.00413837008300589,0.0141966317492743,13.2443,29
49.599,-0.00117809919174761,0,,,49.599,-0.00147822895189704,,,,,,,,,,,,,0.00281792069629404,-0.00859861841837425,0.00904858639542151,13.701,30
49.666,-0.00117809919174761,-0.000589049595873803,,,49.666,-0.00144821597588209,,,,,,,,,,,,,-0.000410875615305159,0.0124797045905822,0.0124864664913437,14.1577,31
49.743,-0.00176714872941375,-0.000589049595873803,,,49.743,-0.00148010925123526,,,,,,,,,,,,,0.0170644325818742,-0.000561334405553357,0.0170736626315559,14.6144,32
49.812,-0.00117809919174761,-0.000589049595873803,,,49.812,-0.00144990824528649,,,,,,,,,,,,,0.00499027615746469,-0.0234769460197456,0.0240014551755057,15.0711,33
50.083,-0.00117809919174761,-0.00117809919174761,,,50.083,-0.00142272733993261,,,,,,,,,,,,,0.0026348122052694,0.0072028921384833,0.00766967342953148,15.5278,34
50.155,-0.00235619838349521,-0.00117809919174761,,,50.155,-0.00151607444428887,,,,,,,,,,,,,0.0137004625999968,0.0127455039834092,0.0187123100456627,15.9845,35
50.231,-0.00117809919174761,-0.000589049595873803,,,50.231,-0.00148227691903474,,,,,,,,,,,,,-0.00427336005765806,-0.0101561384124043,0.0110185640459318,16.4412,36
50.307,-0.00235619838349521,-0.00117809919174761,,,50.307,-0.00156966906548079,,,,,,,,,,,,,0.00448981370787705,0.00177394621171149,0.0048275575909031,16.8979,37
50.383,-0.00176714872941375,-0.00117809919174761,,,50.383,-0.00158941703187408,,,,,,,,,,,,,-0.00226985496489335,-0.00188423246146172,0.0029500124627664,17.3546,38
50.455,-0.00117809919174761,0,,,50.455,-0.00154828524786144,,,,,,,,,,,,,-0.0100824582656057,0.00656905143318694,0.0120336362505078,17.8113,39
50.53,-0.00176714872941375,-0.00117809919174761,,,50.53,-0.00157017159601667,,,,,,,,,,,,,-0.0123227368452531,0.00820767096197022,0.014805934822811,18.268,40
50.605,-0.00117809919174761,0,,,50.605,-0.00153096435558976,,,,,,,,,,,,,0.00692377989435444,-0.0119054760040701,0.0137724030912894,18.7247,41
50.679,-0.00176714872941375,-0.00117809919174761,,,50.679,-0.00155458279297216,,,,,,,,,,,,,-0.0227712486305102,-0.00733368237705484,0.0239230571081549,19.1814,42
50.754,-0.00176714872941375,-0.00117809919174761,,,50.754,-0.00157583938661632,,,,,,,,,,,,,-0.00288055590870395,0.00275448500067617,0.00398557272698909,19.6381,43
50.834,-0.00176714872941375,-0.00117809919174761,,,50.834,-0.00159497032089606,,,,,,,,,,,,,0.0207405610058431,0.00391078795412872,0.0211060449459215,20.0948,44
50.915,-0.00235619838349521,-0.00117809919174761,,,50.915,-0.00167109312715598,,,,,,,,,,,,,0.0288860892768483,-0.00124004598518317,0.0289126938861708,20.5515,45
50.994,-0.00117809919174761,-0.00117809919174761,,,50.994,-0.00162179373361514,,,,,,,,,,,,,-0.0018334760454118,-0.0103873750127049,0.0105479473862769,21.0082,46
